timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1601765177.299,-44.434,-38.086,-29.297,-8.301,0.000,0
1601765177.303,-46.387,-33.203,-25.391,0.977,0.000,0
1601765177.307,-44.434,-34.180,-25.879,-0.488,0.000,0
1601765177.311,-37.598,-33.203,-23.926,9.277,0.000,0
1601765177.315,-27.832,-34.668,-22.461,14.648,0.000,0
1601765177.319,-23.438,-33.203,-28.809,6.836,0.000,0
1601765177.323,-32.227,-35.645,-30.762,5.859,0.000,0
1601765177.327,-25.391,-34.180,-27.832,9.766,0.000,0
1601765177.330,-20.996,-31.738,-32.227,-1.465,0.000,0
1601765177.334,-21.484,-35.156,-34.668,-6.836,0.000,0
1601765177.338,-21.484,-31.738,-33.203,-4.395,0.000,0
1601765177.342,-22.461,-31.738,-30.273,-6.348,0.000,0
1601765177.346,-30.762,-32.227,-25.391,-4.395,0.000,0
1601765177.350,-37.598,-33.691,-27.344,11.719,0.000,0
1601765177.354,-40.039,-38.574,-25.391,4.395,0.000,0
1601765177.358,-49.316,-36.133,-20.508,-11.230,0.000,0
1601765177.362,-53.711,-28.320,-23.926,2.441,0.000,0
1601765177.366,-45.410,-30.273,-21.973,-4.395,0.000,0
1601765177.370,-37.109,-39.062,-25.879,1.953,0.000,0
1601765177.373,-43.945,-42.480,-35.156,12.207,0.000,0
1601765177.377,-57.617,-37.598,-36.133,1.465,0.000,0
1601765177.381,-51.270,-30.762,-33.691,-1.465,0.000,0
1601765177.385,-43.457,-33.691,-28.809,1.953,0.000,0
1601765177.389,-47.363,-36.133,-26.367,2.930,0.000,0
1601765177.393,-49.805,-35.156,-26.855,-1.953,0.000,0
1601765177.397,-58.594,-38.574,-30.273,-10.254,0.000,0
1601765177.401,-67.383,-41.504,-31.250,-7.812,0.000,0
1601765177.405,-66.406,-39.551,-24.902,-1.465,0.000,0
1601765177.409,-56.152,-36.133,-22.461,-1.465,0.000,0
1601765177.413,-32.227,-36.621,-30.762,-0.488,0.000,0
1601765177.416,-34.180,-38.086,-33.203,-4.395,0.000,0
1601765177.420,-47.363,-37.109,-32.715,-15.625,0.000,0
1601765177.424,-45.898,-36.133,-33.203,-6.348,0.000,0
1601765177.428,-44.922,-35.645,-34.668,2.441,0.000,0
1601765177.432,-43.945,-31.738,-32.715,-6.348,0.000,0
1601765177.436,-47.852,-27.832,-26.367,-11.230,0.000,0
1601765177.440,-54.199,-28.320,-25.879,-19.043,0.000,0
1601765177.444,-55.664,-26.855,-24.902,-13.184,0.000,0
1601765177.448,-37.598,-22.461,-26.855,-0.977,0.000,0
1601765177.452,-25.879,-19.043,-31.738,13.672,0.000,0
1601765177.455,-45.898,-19.531,-33.203,6.348,0.000,0
1601765177.459,-42.480,-22.461,-36.133,-9.766,0.000,0
1601765177.463,-35.156,-23.438,-37.109,3.906,0.000,0
1601765177.467,-29.785,-20.996,-33.203,11.719,0.000,0
1601765177.471,-24.902,-23.926,-31.738,-2.930,0.000,0
1601765177.475,-38.086,-28.320,-28.809,-18.066,0.000,0
1601765177.479,-44.434,-29.297,-30.762,-20.020,0.000,0
1601765177.483,-38.086,-30.273,-34.668,-3.418,0.000,0
1601765177.487,-22.949,-28.320,-31.250,13.184,0.000,0
1601765177.491,-24.902,-26.367,-32.715,7.812,0.000,0
1601765177.495,-34.180,-22.461,-31.738,2.441,0.000,0
1601765177.498,-32.715,-20.020,-29.785,6.836,0.000,0
1601765177.502,-33.691,-22.461,-34.180,3.418,0.000,0
1601765177.506,-23.438,-24.902,-29.297,-3.906,0.000,1
1601765177.510,-15.625,-21.484,-24.414,2.930,0.000,0
1601765177.514,-37.598,-22.461,-32.227,-0.488,0.000,0
1601765177.518,-57.617,-25.391,-37.598,-18.066,0.000,0
1601765177.522,-56.641,-26.855,-37.109,-7.812,0.000,0
1601765177.526,-56.641,-32.227,-33.691,1.953,0.000,0
1601765177.530,-45.898,-33.691,-33.691,1.465,0.000,0
1601765177.534,-34.668,-33.203,-31.738,15.137,0.000,0
1601765177.538,-40.039,-30.762,-30.273,9.277,0.000,0
1601765177.541,-50.293,-31.250,-37.109,-4.883,0.000,0
1601765177.545,-52.246,-32.227,-36.133,0.000,0.000,0
