timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1602092585.741,-35.156,-22.461,-26.855,-17.090,0.000,0
1602092585.745,-28.320,-21.973,-27.832,-11.719,0.000,0
1602092585.748,-31.250,-26.855,-23.926,-16.113,0.000,0
1602092585.752,-49.316,-23.926,-18.555,-30.273,0.000,0
1602092585.756,-53.223,-24.902,-19.531,-23.438,0.000,0
1602092585.760,-39.062,-27.832,-23.926,-17.578,0.000,0
1602092585.764,-18.066,-28.320,-26.367,-20.508,0.000,0
1602092585.768,-42.969,-27.344,-24.414,-18.555,0.000,0
1602092585.772,-55.664,-29.297,-15.137,-17.090,0.000,0
1602092585.776,-44.434,-27.832,-12.695,-23.438,0.000,0
1602092585.780,-48.340,-26.855,-21.484,-21.973,0.000,0
1602092585.784,-45.410,-29.297,-22.461,-26.367,0.000,0
1602092585.788,-31.250,-30.762,-24.414,-25.879,0.000,0
1602092585.791,-35.156,-34.180,-26.367,-25.879,0.000,0
1602092585.795,-52.734,-36.133,-20.996,-25.391,0.000,0
1602092585.799,-34.668,-34.668,-26.367,-20.996,0.000,0
1602092585.803,-18.066,-33.691,-25.879,-25.879,0.000,0
1602092585.807,-32.227,-34.668,-20.996,-25.391,0.000,0
1602092585.811,-27.832,-33.691,-20.996,-21.973,0.000,0
1602092585.815,-22.461,-32.715,-20.996,-27.832,0.000,0
1602092585.819,-26.855,-32.227,-20.020,-18.555,0.000,0
1602092585.823,-31.250,-35.156,-18.555,-11.719,0.000,0
1602092585.827,-29.785,-36.621,-21.973,-18.066,0.000,0
1602092585.830,-20.508,-36.133,-21.484,-22.461,0.000,0
1602092585.834,-7.812,-37.109,-21.973,-23.926,0.000,0
1602092585.838,0.000,-32.227,-20.508,-19.043,0.000,0
1602092585.842,-31.738,-25.391,-18.555,-18.555,0.000,0
1602092585.846,-32.715,-26.855,-23.438,-11.719,0.000,0
1602092585.850,-13.184,-26.367,-23.438,-1.953,0.000,0
1602092585.854,-27.344,-21.484,-22.949,-7.812,0.000,0
1602092585.858,-33.691,-23.438,-18.555,-12.207,0.000,0
1602092585.862,-13.672,-22.949,-15.137,0.488,0.000,0
1602092585.866,-11.230,-23.926,-17.578,7.812,0.000,0
1602092585.870,-17.090,-29.785,-20.508,13.184,0.000,0
1602092585.873,-17.578,-30.762,-19.043,-4.395,0.000,0
1602092585.877,-22.949,-30.273,-23.438,-23.926,0.000,0
1602092585.881,-20.508,-30.273,-22.949,-13.184,0.000,0
1602092585.885,-24.414,-27.832,-25.879,-25.391,0.000,0
1602092585.889,-8.789,-27.344,-26.855,-22.949,0.000,0
1602092585.893,2.441,-26.367,-25.879,-22.461,0.000,0
1602092585.897,-28.809,-26.855,-28.809,-29.785,0.000,0
1602092585.901,-44.434,-31.250,-26.367,-14.160,0.000,0
1602092585.905,-39.551,-33.691,-27.344,-10.742,0.000,0
1602092585.909,-21.484,-35.645,-26.855,-19.043,0.000,0
1602092585.913,-10.742,-30.762,-22.949,-20.996,0.000,0
1602092585.916,-32.715,-24.902,-17.578,-24.902,0.000,0
1602092585.920,-31.738,-29.297,-17.578,-17.578,0.000,0
1602092585.924,-28.320,-33.203,-27.832,-12.207,0.000,0
1602092585.928,-16.113,-35.156,-31.738,-18.066,0.000,0
1602092585.932,0.000,-29.785,-30.762,-24.414,0.000,0
1602092585.936,-39.551,-26.367,-29.785,-31.250,0.000,0
1602092585.940,-54.688,-31.738,-29.297,-32.715,0.000,0
1602092585.944,-33.203,-27.832,-25.879,-16.602,0.000,0
1602092585.948,-5.371,-25.391,-21.973,-15.137,0.000,0
1602092585.952,-0.977,-30.762,-20.996,-30.273,0.000,0
1602092585.955,-40.039,-24.902,-23.926,-24.902,0.000,0
1602092585.959,-41.016,-24.902,-25.879,-18.555,0.000,0
1602092585.963,-8.301,-28.320,-28.320,-21.484,0.000,0
1602092585.967,10.254,-26.367,-31.250,-27.344,0.000,0
1602092585.971,29.785,-25.391,-24.414,-24.414,0.000,0
1602092585.975,23.438,-23.438,-22.461,-23.438,0.000,0
1602092585.979,13.184,-20.996,-25.391,-24.902,0.000,0
1602092585.983,30.273,-20.996,-21.973,-11.230,0.000,0
1602092585.987,43.457,-20.508,-20.996,-5.859,0.000,0
1602092585.991,29.785,-20.996,-22.949,-20.996,0.000,0
1602092585.995,11.230,-23.438,-22.949,-26.367,0.000,0
1602092585.998,14.648,-23.926,-20.020,-22.949,0.000,0
1602092586.002,17.578,-20.020,-17.090,-9.277,0.000,0
1602092586.006,26.367,-20.508,-19.043,-6.836,0.000,0
1602092586.010,22.949,-27.344,-21.973,-17.578,0.000,0
1602092586.014,7.324,-29.785,-18.555,-23.926,0.000,0
1602092586.018,0.977,-29.297,-19.043,-30.762,0.000,0
1602092586.022,5.859,-26.855,-20.508,-23.926,0.000,0
1602092586.026,14.160,-26.855,-18.555,-22.461,0.000,0
1602092586.030,17.090,-26.855,-14.648,-20.996,0.000,0
1602092586.034,-4.883,-23.926,-12.207,-20.996,0.000,0
1602092586.038,-22.461,-26.367,-15.137,-26.855,0.000,0
1602092586.041,-16.602,-29.785,-13.672,-12.207,0.000,0
1602092586.045,-9.766,-32.715,-14.648,-10.742,0.000,0
1602092586.049,0.488,-31.738,-18.066,-25.879,0.000,0
1602092586.053,0.488,-25.391,-15.137,-24.414,0.000,0
1602092586.057,0.977,-22.461,-18.555,-20.508,0.000,0
1602092586.061,7.812,-24.414,-24.902,-23.926,0.000,0
1602092586.065,11.719,-26.367,-23.438,-26.367,0.000,0
1602092586.069,27.832,-26.367,-20.996,-20.996,0.000,0
1602092586.073,28.809,-28.809,-21.484,-38.574,0.000,0
1602092586.077,6.836,-29.785,-26.367,-41.016,0.000,0
1602092586.080,-7.324,-23.438,-24.414,-23.926,0.000,0
1602092586.084,2.930,-21.484,-24.414,-22.461,0.000,0
1602092586.088,20.020,-25.391,-30.273,-9.277,0.000,0
1602092586.092,12.207,-33.203,-32.715,-16.602,0.000,0
1602092586.096,3.906,-30.273,-29.297,-29.297,0.000,0
1602092586.100,2.441,-22.949,-22.461,-19.043,0.000,0
1602092586.104,1.953,-20.508,-23.926,-19.531,0.000,0
1602092586.108,2.930,-18.066,-23.926,-13.672,0.000,1
1602092586.112,-11.719,-16.602,-23.926,-15.137,0.000,0
1602092586.116,-22.461,-14.648,-25.391,-16.602,0.000,0
1602092586.120,-9.766,-18.066,-20.996,-11.719,0.000,0
1602092586.123,-14.160,-21.484,-20.996,-2.441,0.000,0
1602092586.127,-24.902,-20.020,-23.438,-7.812,0.000,0
1602092586.131,-20.508,-20.020,-22.461,-18.066,0.000,0
1602092586.135,-20.020,-23.926,-24.414,-13.672,0.000,0
1602092586.139,-30.273,-29.785,-25.391,-7.812,0.000,0
1602092586.143,-33.203,-32.227,-22.949,3.418,0.000,0
1602092586.147,-22.949,-32.227,-24.414,-8.301,0.000,0
1602092586.151,-27.344,-31.738,-26.367,-11.230,0.000,0
1602092586.155,-16.113,-26.855,-24.902,-0.977,0.000,0
1602092586.159,-8.789,-28.809,-29.785,-13.672,0.000,0
1602092586.163,-31.738,-33.691,-33.203,-18.066,0.000,0
1602092586.166,-34.668,-29.297,-28.320,-6.348,0.000,0
1602092586.170,-26.855,-24.414,-20.508,-2.930,0.000,0
1602092586.174,-31.250,-30.273,-15.137,-11.719,0.000,0
1602092586.178,-45.410,-34.668,-17.578,-21.973,0.000,0
1602092586.182,-25.879,-29.297,-23.926,-13.184,0.000,0
1602092586.186,-12.695,-30.762,-22.461,-14.648,0.000,0
1602092586.190,-22.949,-31.250,-17.578,-25.391,0.000,0
1602092586.194,-20.020,-27.832,-15.137,-18.066,0.000,0
1602092586.198,-28.320,-25.879,-10.742,-15.625,0.000,0
1602092586.202,-35.156,-28.320,-11.719,-16.113,0.000,0
1602092586.205,-31.738,-30.273,-18.066,-19.043,0.000,0
1602092586.209,-30.273,-27.832,-18.066,-27.832,0.000,0
1602092586.213,-26.855,-22.949,-20.996,-23.438,0.000,0
1602092586.217,-31.250,-22.461,-20.996,-24.414,0.000,0
1602092586.221,-37.109,-29.297,-20.996,-23.926,0.000,0
1602092586.225,-35.645,-29.785,-20.996,-22.949,0.000,0
1602092586.229,-28.809,-30.273,-17.090,-31.738,0.000,0
1602092586.233,-17.578,-30.762,-17.578,-29.785,0.000,0
1602092586.237,-31.738,-25.879,-18.555,-23.926,0.000,0
1602092586.241,-41.504,-20.996,-20.508,-9.766,0.000,0
1602092586.245,-22.949,-22.949,-22.949,-10.742,0.000,0
1602092586.248,-13.672,-24.902,-21.484,-26.367,0.000,0
1602092586.252,-15.137,-24.414,-23.926,-27.832,0.000,0
1602092586.256,-10.254,-23.926,-23.438,-25.391,0.000,0
1602092586.260,-23.926,-25.879,-20.508,-23.926,0.000,0
1602092586.264,-40.527,-25.879,-20.020,-25.391,0.000,0
1602092586.268,-29.297,-23.926,-18.066,-28.320,0.000,0
1602092586.272,-6.836,-25.391,-17.578,-30.762,0.000,0
1602092586.276,-12.695,-26.855,-24.414,-41.992,0.000,0
1602092586.280,-42.969,-29.297,-30.762,-36.621,0.000,0
1602092586.284,-39.551,-27.832,-27.344,-21.973,0.000,0
1602092586.288,-31.250,-24.902,-29.297,-21.484,0.000,0
1602092586.291,-21.484,-25.391,-36.133,-29.297,0.000,0
1602092586.295,-37.598,-24.902,-31.250,-48.340,0.000,0
1602092586.299,-32.227,-22.461,-27.344,-46.387,0.000,0
1602092586.303,-8.789,-20.996,-27.344,-29.297,0.000,0
1602092586.307,-30.273,-27.344,-28.809,-30.273,0.000,0
1602092586.311,-31.250,-30.762,-31.250,-40.039,0.000,0
1602092586.315,-36.133,-33.203,-31.738,-47.852,0.000,0
1602092586.319,-43.457,-34.668,-26.367,-38.086,0.000,0
1602092586.323,-20.020,-34.180,-28.320,-21.973,0.000,0
1602092586.327,-6.348,-35.645,-28.320,-23.926,0.000,0
1602092586.330,-8.301,-31.738,-25.879,-34.668,0.000,0
1602092586.334,-29.297,-29.297,-31.250,-37.109,0.000,0
1602092586.338,-44.434,-28.809,-29.785,-30.762,0.000,0
1602092586.342,-40.039,-27.344,-29.297,-26.367,0.000,0
1602092586.346,-7.324,-19.531,-30.273,-21.973,0.000,0
1602092586.350,-1.953,-17.578,-28.320,-19.531,0.000,0
1602092586.354,-22.461,-24.414,-27.344,-30.273,0.000,0
1602092586.358,-20.996,-23.926,-25.391,-31.250,0.000,0
1602092586.362,-19.531,-21.484,-29.785,-21.484,0.000,0
1602092586.366,-17.090,-24.902,-31.738,-27.832,0.000,0
1602092586.370,-34.668,-29.297,-30.273,-27.832,0.000,0
1602092586.373,-40.039,-30.762,-29.297,-19.043,0.000,0
1602092586.377,-35.645,-30.273,-27.832,-40.039,0.000,0
1602092586.381,-39.062,-29.297,-28.809,-47.363,0.000,0
1602092586.385,-23.438,-23.926,-26.367,-34.180,0.000,0
1602092586.389,-3.906,-20.996,-23.926,-32.227,0.000,0
1602092586.393,-15.137,-18.555,-26.855,-30.273,0.000,0
1602092586.397,-21.973,-19.043,-28.320,-28.809,0.000,0
1602092586.401,-21.484,-26.367,-31.250,-32.227,0.000,0
1602092586.405,-26.855,-24.414,-29.785,-25.879,0.000,0
1602092586.409,-31.250,-22.461,-27.832,-26.367,0.000,0
1602092586.413,-30.762,-24.414,-28.320,-34.668,0.000,0
1602092586.416,-16.602,-20.508,-25.879,-28.320,0.000,0
1602092586.420,-15.137,-19.043,-28.809,-33.691,0.000,0
1602092586.424,-22.461,-27.832,-29.785,-43.945,0.000,0
1602092586.428,-21.484,-30.273,-29.785,-40.039,0.000,0
1602092586.432,-10.254,-25.879,-29.297,-35.645,0.000,0
1602092586.436,-10.742,-22.949,-27.344,-38.086,0.000,0
1602092586.440,-25.391,-22.461,-29.785,-39.062,0.000,0
1602092586.444,-20.508,-26.367,-24.902,-34.668,0.000,0
1602092586.448,-18.066,-28.809,-25.391,-29.297,0.000,0
1602092586.452,-34.668,-27.344,-26.367,-24.902,0.000,0
1602092586.455,-35.645,-28.320,-21.973,-32.227,0.000,0
1602092586.459,-34.668,-28.320,-22.461,-32.715,0.000,0
1602092586.463,-34.180,-24.902,-25.391,-18.066,0.000,0
1602092586.467,-24.414,-23.926,-22.949,-20.020,0.000,0
