timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1593292844.329,206.543,-23.438,-28.320,178.711,0.000,0
1593292844.333,73.242,-24.414,-25.879,55.176,0.000,0
1593292844.337,-143.555,-20.020,-28.809,-133.789,0.000,0
1593292844.341,-161.133,-20.508,-33.691,-147.461,0.000,0
1593292844.345,0.488,-20.020,-32.715,-5.371,0.000,0
1593292844.349,208.984,-19.043,-30.273,168.457,0.000,0
1593292844.353,106.445,-17.578,-31.738,76.660,0.000,0
1593292844.357,-122.070,-15.137,-29.785,-112.793,0.000,0
1593292844.361,-176.758,-19.043,-31.738,-152.832,0.000,0
1593292844.365,-36.133,-19.043,-30.762,-29.297,0.000,0
1593292844.369,193.359,-18.066,-21.484,160.156,0.000,0
1593292844.372,132.812,-15.625,-25.391,99.121,0.000,0
1593292844.376,-105.469,-15.137,-29.785,-102.051,0.000,0
1593292844.380,-173.340,-16.602,-31.738,-161.133,0.000,0
1593292844.384,-66.895,-17.578,-39.062,-55.664,0.000,0
1593292844.388,154.785,-17.090,-36.621,144.043,0.000,0
1593292844.392,143.066,-22.461,-30.273,131.348,0.000,0
1593292844.396,-105.957,-27.832,-30.273,-76.172,0.000,0
1593292844.400,-196.777,-23.438,-31.738,-162.598,0.000,0
1593292844.404,-101.074,-23.438,-28.809,-74.707,0.000,0
1593292844.408,127.441,-26.367,-29.297,128.906,0.000,0
1593292844.411,160.645,-23.438,-27.344,148.438,0.000,0
1593292844.415,-88.867,-25.391,-27.344,-53.711,0.000,0
1593292844.419,-205.078,-25.391,-30.762,-149.902,0.000,0
1593292844.423,-132.812,-24.902,-31.738,-84.473,0.000,0
1593292844.427,93.262,-26.855,-33.691,112.305,0.000,0
1593292844.431,175.293,-24.902,-36.133,156.250,0.000,0
1593292844.435,-44.922,-23.438,-31.250,-38.574,0.000,0
1593292844.439,-187.012,-20.996,-31.738,-147.949,0.000,0
1593292844.443,-146.484,-24.902,-39.551,-109.375,0.000,0
1593292844.447,67.871,-25.391,-34.668,74.219,0.000,0
1593292844.451,191.406,-21.484,-31.738,161.133,0.000,0
1593292844.454,-10.254,-24.414,-33.691,-13.672,0.000,0
1593292844.458,-174.805,-25.391,-31.250,-149.414,0.000,0
1593292844.462,-158.203,-22.461,-28.809,-124.023,0.000,0
1593292844.466,46.387,-21.973,-31.250,59.082,0.000,0
1593292844.470,204.590,-20.996,-32.715,174.316,0.000,0
1593292844.474,20.996,-23.438,-37.109,9.277,0.000,0
1593292844.478,-174.805,-28.320,-39.551,-150.879,0.000,0
1593292844.482,-177.246,-29.297,-33.691,-139.160,0.000,0
1593292844.486,10.742,-28.809,-35.645,29.785,0.000,0
1593292844.490,192.871,-25.879,-35.156,180.664,0.000,0
1593292844.494,28.809,-24.902,-36.133,33.691,0.000,0
1593292844.497,-178.711,-28.809,-41.992,-156.250,0.000,0
1593292844.501,-193.359,-30.273,-42.480,-160.645,0.000,0
1593292844.505,-39.551,-31.738,-41.992,-12.695,0.000,0
1593292844.509,171.875,-27.832,-36.621,157.715,0.000,0
1593292844.513,59.570,-22.949,-31.250,45.898,0.000,0
1593292844.517,-159.668,-25.391,-37.109,-151.367,0.000,0
1593292844.521,-193.848,-23.926,-38.086,-165.527,0.000,0
1593292844.525,-49.316,-20.020,-35.156,-29.785,0.000,0
1593292844.529,185.059,-23.926,-40.039,146.973,0.000,0
1593292844.533,101.074,-27.832,-42.969,65.918,0.000,0
1593292844.536,-145.996,-25.391,-37.109,-141.113,0.000,0
1593292844.540,-197.266,-23.926,-29.785,-173.828,0.000,0
1593292844.544,-70.801,-26.367,-33.691,-60.059,0.000,0
1593292844.548,147.461,-29.785,-37.598,128.418,0.000,0
1593292844.552,117.676,-31.250,-29.297,92.285,0.000,0
1593292844.556,-113.281,-24.902,-31.738,-119.141,0.000,0
1593292844.560,-195.801,-21.484,-39.062,-183.105,0.000,0
1593292844.564,-96.680,-24.902,-36.621,-81.543,0.000,0
1593292844.568,136.230,-21.973,-34.668,115.723,0.000,0
1593292844.572,160.645,-23.438,-35.645,112.793,0.000,0
1593292844.576,-94.238,-28.809,-39.062,-93.262,0.000,0
1593292844.579,-208.984,-27.832,-39.062,-176.758,0.000,0
1593292844.583,-124.023,-27.832,-41.504,-93.262,0.000,0
1593292844.587,106.445,-28.809,-42.969,104.980,0.000,0
1593292844.591,160.156,-25.391,-36.621,136.230,0.000,0
1593292844.595,-73.730,-25.879,-34.180,-66.406,0.000,0
1593292844.599,-206.055,-24.414,-29.297,-170.410,0.000,0
1593292844.603,-144.531,-21.484,-31.738,-122.559,0.000,0
1593292844.607,78.613,-20.020,-37.598,62.012,0.000,0
1593292844.611,182.617,-19.043,-33.691,139.160,0.000,0
1593292844.615,-28.809,-24.414,-30.762,-54.199,0.000,0
1593292844.619,-197.754,-24.902,-28.320,-179.199,0.000,0
1593292844.622,-153.809,-22.461,-29.297,-134.766,0.000,0
1593292844.626,60.059,-23.926,-34.668,45.410,0.000,0
1593292844.630,191.895,-26.367,-37.109,151.855,0.000,0
1593292844.634,4.395,-24.414,-33.691,-12.695,0.000,0
1593292844.638,-174.316,-20.020,-27.344,-159.668,0.000,0
1593292844.642,-159.668,-15.137,-27.344,-137.207,0.000,0
1593292844.646,34.180,-15.625,-32.227,36.133,0.000,0
1593292844.650,206.543,-20.020,-30.273,170.410,0.000,0
1593292844.654,44.434,-22.949,-24.902,8.301,0.000,0
1593292844.658,-163.574,-24.414,-24.414,-162.109,0.000,0
1593292844.661,-164.551,-22.461,-24.902,-145.020,0.000,0
1593292844.665,23.438,-18.555,-23.438,15.625,0.000,0
1593292844.669,210.449,-20.996,-25.391,178.711,0.000,0
1593292844.673,65.430,-21.973,-26.855,50.293,0.000,0
1593292844.677,-150.879,-20.020,-25.391,-145.020,0.000,0
1593292844.681,-184.570,-23.438,-23.926,-161.621,0.000,0
1593292844.685,-39.062,-20.508,-20.508,-20.508,0.000,0
1593292844.689,170.898,-19.043,-24.414,155.762,0.000,0
1593292844.693,77.637,-25.391,-25.391,63.965,0.000,0
1593292844.697,-159.668,-26.855,-27.344,-128.906,0.000,0
1593292844.701,-206.543,-26.855,-32.227,-163.086,0.000,0
1593292844.704,-59.082,-20.996,-30.273,-37.598,0.000,0
1593292844.708,169.922,-19.531,-35.156,153.809,0.000,0
1593292844.712,120.605,-21.973,-33.203,92.285,0.000,0
1593292844.716,-115.234,-20.996,-29.785,-111.328,0.000,0
1593292844.720,-187.012,-21.484,-33.203,-157.715,0.000,0
1593292844.724,-73.242,-23.926,-38.086,-53.223,0.000,0
1593292844.728,162.109,-28.320,-35.645,142.578,0.000,0
1593292844.732,149.902,-28.809,-32.227,117.676,0.000,0
1593292844.736,-94.238,-26.855,-31.250,-95.703,0.000,0
1593292844.740,-181.641,-24.902,-29.297,-159.180,0.000,0
1593292844.744,-96.191,-24.414,-31.738,-74.707,0.000,0
1593292844.747,125.488,-23.926,-36.133,117.188,0.000,0
1593292844.751,166.504,-22.949,-38.086,145.996,0.000,0
1593292844.755,-63.965,-29.297,-35.156,-55.664,0.000,0
1593292844.759,-189.453,-33.203,-36.621,-164.551,0.000,0
1593292844.763,-127.930,-35.156,-38.086,-99.121,0.000,0
1593292844.767,92.773,-36.621,-37.109,89.355,0.000,0
1593292844.771,172.852,-38.574,-37.598,140.625,0.000,0
1593292844.775,-49.316,-41.504,-37.109,-55.664,0.000,0
1593292844.779,-199.707,-42.480,-40.527,-183.594,0.000,0
1593292844.783,-160.156,-39.062,-37.109,-134.277,0.000,0
1593292844.786,65.430,-35.645,-35.156,57.129,0.000,0
1593292844.790,197.754,-34.180,-41.016,154.785,0.000,0
1593292844.794,-11.719,-33.691,-38.574,-28.809,0.000,0
1593292844.798,-180.664,-32.227,-38.086,-170.898,0.000,0
1593292844.802,-156.738,-30.762,-45.410,-134.277,0.000,0
1593292844.806,41.504,-30.762,-50.293,44.434,0.000,0
1593292844.810,203.125,-27.832,-43.945,165.039,0.000,0
1593292844.814,27.344,-28.320,-39.551,0.488,0.000,0
1593292844.818,-178.711,-31.738,-43.457,-163.086,0.000,0
1593292844.822,-173.828,-28.320,-43.945,-145.996,0.000,0
1593292844.826,19.043,-25.879,-40.039,17.090,0.000,0
1593292844.829,194.336,-24.902,-38.086,160.645,0.000,0
1593292844.833,47.363,-23.438,-38.086,28.320,0.000,0
1593292844.837,-157.227,-21.484,-39.062,-145.020,0.000,0
1593292844.841,-184.082,-23.926,-40.039,-150.391,0.000,0
1593292844.845,-16.113,-26.367,-39.551,-1.953,0.000,0
1593292844.849,197.754,-24.902,-39.062,170.410,0.000,0
1593292844.853,86.426,-25.879,-41.504,61.035,0.000,0
1593292844.857,-144.043,-23.438,-41.016,-136.719,0.000,0
1593292844.861,-186.523,-21.484,-40.039,-155.273,0.000,0
1593292844.865,-40.039,-22.949,-40.039,-24.414,0.000,0
1593292844.869,170.410,-18.555,-36.133,153.320,0.000,0
1593292844.872,91.797,-20.020,-29.785,72.754,0.000,0
1593292844.876,-137.207,-26.855,-27.832,-130.371,0.000,0
1593292844.880,-202.148,-30.273,-29.297,-165.039,0.000,0
1593292844.884,-84.473,-28.809,-31.738,-53.711,0.000,0
1593292844.888,150.879,-24.902,-33.691,138.672,0.000,0
1593292844.892,117.188,-25.391,-36.133,111.328,0.000,0
1593292844.896,-126.953,-30.762,-39.062,-92.773,0.000,0
1593292844.900,-202.148,-32.715,-39.062,-157.227,0.000,0
1593292844.904,-99.609,-33.203,-36.621,-64.941,0.000,0
1593292844.908,122.559,-32.715,-35.645,121.094,0.000,0
1593292844.911,135.742,-34.180,-39.062,126.465,0.000,0
1593292844.915,-95.215,-31.738,-35.156,-76.660,0.000,0
1593292844.919,-207.520,-22.949,-29.785,-168.457,0.000,0
1593292844.923,-136.719,-19.531,-28.320,-92.285,0.000,0
1593292844.927,100.098,-20.996,-27.344,103.516,0.000,0
1593292844.931,163.574,-21.973,-31.250,142.578,0.000,1
1593292844.935,-62.012,-23.438,-33.203,-50.293,0.000,0
1593292844.939,-201.172,-27.832,-38.086,-156.738,0.000,0
1593292844.943,-150.879,-28.809,-46.875,-109.375,0.000,0
1593292844.947,86.914,-30.762,-43.945,78.613,0.000,0
1593292844.951,190.430,-28.320,-36.133,162.598,0.000,0
1593292844.954,-38.086,-27.832,-37.109,-31.738,0.000,0
1593292844.958,-195.312,-28.809,-38.086,-171.875,0.000,0
1593292844.962,-160.645,-31.738,-39.551,-143.555,0.000,0
1593292844.966,44.922,-32.715,-37.109,32.715,0.000,0
1593292844.970,180.176,-28.809,-32.715,153.809,0.000,0
1593292844.974,-2.930,-30.273,-36.133,-10.254,0.000,0
1593292844.978,-183.594,-27.344,-34.180,-158.203,0.000,0
1593292844.982,-173.828,-24.902,-31.738,-139.648,0.000,0
1593292844.986,29.785,-27.344,-39.062,23.926,0.000,0
1593292844.990,204.102,-28.320,-42.480,157.715,0.000,0
1593292844.994,29.785,-29.785,-36.621,2.930,0.000,0
1593292844.997,-169.922,-30.273,-37.598,-165.039,0.000,0
1593292845.001,-175.781,-28.320,-37.598,-157.715,0.000,0
1593292845.005,3.906,-29.785,-36.133,-4.883,0.000,0
1593292845.009,220.215,-27.832,-36.621,162.109,0.000,0
1593292845.013,95.703,-25.879,-37.598,37.598,0.000,0
1593292845.017,-134.766,-27.832,-37.598,-147.461,0.000,0
1593292845.021,-180.176,-31.250,-35.156,-164.551,0.000,0
1593292845.025,-25.879,-26.367,-35.645,-28.320,0.000,0
1593292845.029,197.754,-22.949,-38.574,160.645,0.000,0
1593292845.033,96.680,-26.855,-41.992,68.359,0.000,0
1593292845.036,-146.484,-29.297,-36.621,-133.789,0.000,0
1593292845.040,-197.266,-31.250,-31.250,-161.621,0.000,0
1593292845.044,-63.965,-25.391,-33.691,-38.086,0.000,0
1593292845.048,166.992,-19.531,-34.180,149.902,0.000,0
1593292845.052,126.953,-20.996,-27.832,104.492,0.000,0
1593292845.056,-122.559,-25.879,-25.879,-104.492,0.000,0
1593292845.060,-207.520,-27.344,-32.227,-164.062,0.000,0
1593292845.064,-83.008,-28.320,-33.691,-69.824,0.000,0
1593292845.068,132.324,-30.273,-37.598,117.676,0.000,0
1593292845.072,122.559,-25.391,-41.016,108.887,0.000,0
1593292845.076,-103.027,-23.926,-37.598,-97.656,0.000,0
1593292845.079,-207.031,-28.320,-36.621,-175.293,0.000,0
1593292845.083,-118.164,-28.320,-37.598,-93.262,0.000,0
1593292845.087,104.492,-32.227,-39.551,99.121,0.000,0
1593292845.091,144.531,-31.738,-37.109,132.324,0.000,0
1593292845.095,-71.777,-27.832,-32.715,-60.059,0.000,0
1593292845.099,-192.871,-26.855,-33.691,-163.086,0.000,0
1593292845.103,-131.348,-26.855,-35.645,-104.004,0.000,0
1593292845.107,92.285,-22.461,-37.109,85.938,0.000,0
1593292845.111,174.805,-20.996,-31.250,146.484,0.000,0
1593292845.115,-36.621,-20.996,-25.879,-33.691,0.000,0
1593292845.119,-185.059,-18.555,-23.438,-153.809,0.000,0
1593292845.122,-160.156,-18.555,-28.809,-118.652,0.000,0
1593292845.126,52.246,-21.973,-38.086,56.641,0.000,0
1593292845.130,173.340,-20.996,-30.762,150.391,0.000,0
1593292845.134,-26.855,-23.926,-30.762,-22.949,0.000,0
1593292845.138,-192.871,-28.809,-29.297,-165.527,0.000,0
1593292845.142,-176.758,-26.367,-27.832,-134.277,0.000,0
1593292845.146,30.762,-23.438,-37.109,39.551,0.000,0
1593292845.150,201.172,-20.996,-30.762,166.504,0.000,0
1593292845.154,27.344,-20.020,-28.320,11.230,0.000,0
1593292845.158,-167.969,-21.484,-32.227,-147.949,0.000,0
1593292845.161,-167.969,-25.879,-34.180,-141.602,0.000,0
1593292845.165,15.625,-23.438,-31.738,21.484,0.000,0
1593292845.169,204.102,-20.996,-24.902,182.129,0.000,0
1593292845.173,58.105,-28.320,-29.297,38.574,0.000,0
1593292845.177,-148.438,-25.879,-38.086,-143.555,0.000,0
1593292845.181,-157.715,-20.020,-37.598,-151.367,0.000,0
1593292845.185,-12.207,-23.926,-35.645,-9.766,0.000,0
1593292845.189,192.871,-26.367,-34.668,165.527,0.000,0
1593292845.193,89.355,-23.926,-31.250,60.547,0.000,0
1593292845.197,-146.484,-25.391,-36.133,-137.695,0.000,0
1593292845.201,-194.824,-24.902,-38.574,-166.016,0.000,0
1593292845.204,-48.828,-19.531,-34.668,-37.109,0.000,0
1593292845.208,177.734,-21.973,-31.250,151.367,0.000,0
1593292845.212,104.492,-23.926,-32.715,83.496,0.000,0
1593292845.216,-130.859,-19.531,-33.203,-120.117,0.000,0
1593292845.220,-192.383,-21.484,-32.715,-168.457,0.000,0
1593292845.224,-75.684,-23.438,-33.691,-55.664,0.000,0
1593292845.228,150.879,-20.508,-36.621,132.324,0.000,0
1593292845.232,140.625,-21.484,-39.062,105.469,0.000,0
1593292845.236,-89.844,-25.879,-37.598,-100.586,0.000,0
1593292845.240,-194.824,-31.250,-36.621,-176.758,0.000,0
1593292845.244,-103.027,-28.809,-37.598,-83.984,0.000,0
1593292845.247,139.160,-20.020,-36.621,116.699,0.000,0
