timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1601748339.379,-45.898,-24.414,-48.340,-38.574,0.000,0
1601748339.383,-47.363,-26.367,-51.270,-50.781,0.000,0
1601748339.387,-45.898,-26.367,-50.781,-44.434,0.000,0
1601748339.391,-49.316,-26.855,-45.898,-41.016,0.000,0
1601748339.395,-48.340,-30.273,-47.363,-39.551,0.000,0
1601748339.399,-45.410,-27.344,-47.363,-40.039,0.000,0
1601748339.402,-49.316,-28.320,-46.875,-47.363,0.000,0
1601748339.406,-47.852,-31.250,-49.805,-43.945,0.000,0
1601748339.410,-39.062,-23.438,-52.246,-37.598,0.000,0
1601748339.414,-31.250,-21.484,-47.363,-26.367,0.000,0
1601748339.418,-28.809,-23.926,-45.898,-21.973,0.000,0
1601748339.422,-34.180,-23.926,-47.363,-40.039,0.000,0
1601748339.426,-40.039,-27.832,-51.270,-47.363,0.000,0
1601748339.430,-42.480,-27.344,-56.641,-49.805,0.000,0
1601748339.434,-41.992,-26.367,-57.617,-52.734,0.000,0
1601748339.438,-47.363,-30.762,-54.688,-38.574,0.000,0
1601748339.442,-54.688,-32.227,-53.711,-44.434,0.000,0
1601748339.445,-60.547,-37.109,-55.176,-58.594,0.000,0
1601748339.449,-55.664,-45.898,-54.199,-56.152,0.000,0
1601748339.453,-46.387,-41.016,-51.758,-42.969,0.000,0
1601748339.457,-45.410,-33.203,-48.828,-35.645,0.000,0
1601748339.461,-48.828,-34.180,-47.852,-39.062,0.000,0
1601748339.465,-47.852,-32.227,-46.387,-41.016,0.000,0
1601748339.469,-43.457,-31.738,-49.316,-44.922,0.000,0
1601748339.473,-41.504,-33.203,-49.316,-33.691,0.000,0
1601748339.477,-44.922,-33.203,-46.875,-28.320,0.000,0
1601748339.481,-48.340,-30.762,-43.457,-33.203,0.000,0
1601748339.485,-51.758,-31.250,-41.016,-39.551,0.000,0
1601748339.488,-49.316,-29.785,-45.898,-43.457,0.000,0
1601748339.492,-46.387,-28.320,-42.969,-45.898,0.000,0
1601748339.496,-55.176,-34.180,-43.945,-46.387,0.000,0
1601748339.500,-58.594,-33.203,-48.828,-48.828,0.000,0
1601748339.504,-55.176,-31.738,-46.387,-57.617,0.000,0
1601748339.508,-54.688,-25.879,-45.410,-58.594,0.000,0
1601748339.512,-55.664,-27.832,-46.875,-57.617,0.000,0
1601748339.516,-53.223,-31.738,-48.828,-51.758,0.000,0
1601748339.520,-47.363,-25.879,-44.434,-43.945,0.000,0
1601748339.524,-50.781,-28.809,-44.922,-46.875,0.000,0
1601748339.527,-54.199,-25.879,-47.852,-39.551,0.000,0
1601748339.531,-48.340,-22.461,-46.875,-36.621,0.000,0
1601748339.535,-44.434,-22.949,-46.875,-41.016,0.000,0
1601748339.539,-40.527,-22.461,-42.480,-31.738,0.000,0
1601748339.543,-47.852,-23.438,-40.527,-31.738,0.000,0
1601748339.547,-56.641,-25.879,-46.875,-36.621,0.000,0
1601748339.551,-51.758,-25.391,-44.434,-32.227,0.000,0
1601748339.555,-56.641,-26.367,-40.039,-33.203,0.000,0
1601748339.559,-63.965,-28.809,-43.945,-40.039,0.000,0
1601748339.563,-67.383,-28.809,-46.875,-43.457,0.000,0
1601748339.567,-63.965,-28.320,-41.016,-46.387,0.000,0
1601748339.570,-56.152,-28.320,-40.039,-49.316,0.000,0
